排名	关键词	热度	特征	时间
1	谭松韵妈妈车祸肇事者被判六年	4474474	新	2020-09-19T05:00:48.239443
2	安倍自曝今天参拜靖国神社	2015217	新	2020-09-19T05:00:48.239565
3	姐姐成团首秀超飒	1832398	荐	2020-09-19T05:00:48.239664
4	央视镜头下的鹿晗	1725027	沸	2020-09-19T05:00:48.239763
5	魏晨 专业的歌手不假唱	1359386	热	2020-09-19T05:00:48.239864
6	吴仁荻带你梦境解密	1242892	荐	2020-09-19T05:00:48.239968
7	英语四级	943335	沸	2020-09-19T05:00:48.240078
8	德阳无症状感染者入境26天后阳性	923750	新	2020-09-19T05:00:48.240175
9	松下	797902		2020-09-19T05:00:48.240273
10	中方回应美禁与WeChat和TikTok交易	761200	新	2020-09-19T05:00:48.240351
11	初三男生被家长扇耳光跳楼身亡	704306	沸	2020-09-19T05:00:48.240448
12	王耀庆吃了大葱朝王鹤棣哈气	690100		2020-09-19T05:00:48.240542
13	泰国选美大家打扮得像是persona	668530	新	2020-09-19T05:00:48.240621
14	吴某某等人涉嫌内幕交易王府井	444927		2020-09-19T05:00:48.240715
15	全球新增1000万例确诊仅用37天	383789	新	2020-09-19T05:00:48.240791
16	李心草案一审开庭	365104		2020-09-19T05:00:48.240884
17	王源 我没有主持人证	363407	热	2020-09-19T05:00:48.240961
18	当我小时候我妈给我穿衣服	360243		2020-09-19T05:00:48.241054
19	西安地铁	348700		2020-09-19T05:00:48.241130
20	国庆中秋5A级景区严格落实分时预约	326164	新	2020-09-19T05:00:48.241205
21	男生养猫行为图鉴	321577	新	2020-09-19T05:00:48.241299
22	掘金 湖人	288228		2020-09-19T05:00:48.241392
23	美国大法官金斯伯格去世	283348		2020-09-19T05:00:48.241467
24	猪盖	272942		2020-09-19T05:00:48.241542
25	欧洲等地区出现病例数量显著上升	259591		2020-09-19T05:00:48.241616
26	北京试鸣防空警报	251254	新	2020-09-19T05:00:48.241692
27	詹姆斯崴脚后暴扣	235313	新	2020-09-19T05:00:48.241784
28	吴亦凡 我不在这节目都不会出现	226143		2020-09-19T05:00:48.241878
29	尤长靖新歌	220395		2020-09-19T05:00:48.241953
30	优先放开室外举办大型营业性演出	202847		2020-09-19T05:00:48.242027
31	沉默的真相转场	199065		2020-09-19T05:00:48.242102
32	黄河壶口瀑布迎来最佳观赏期	193181	新	2020-09-19T05:00:48.242177
33	临汾动物园用家禽凑数	183253		2020-09-19T05:00:48.242272
34	当代医学生上课日常	176406		2020-09-19T05:00:48.242347
35	教育部要求高校方便学生进出校门	162971		2020-09-19T05:00:48.242422
36	霍华德大帽约基奇	162733	新	2020-09-19T05:00:48.242497
37	熊孩子把超市桃子全戳上洞	144314		2020-09-19T05:00:48.242590
38	李宇春 你是不是想抢走我的潘虹	132635		2020-09-19T05:00:48.242665
39	小白输给小青龙	132053		2020-09-19T05:00:48.242739
40	维和官兵讲述生死瞬间	122604		2020-09-19T05:00:48.242813
41	秋天太适合恋爱了	113433		2020-09-19T05:00:48.242888
42	演唱会快回来了	113021		2020-09-19T05:00:48.242963
43	美国新冠肺炎超671万例	110511		2020-09-19T05:00:48.243035
44	当老师以后的变化	109495	新	2020-09-19T05:00:48.243113
45	乔欣 嫉妒不可耻	108929		2020-09-19T05:00:48.243212
46	中餐厅	106303		2020-09-19T05:00:48.243293
47	平平无奇的起名小天才	96196		2020-09-19T05:00:48.243372
48	广州试鸣防空警报	94112	新	2020-09-19T05:00:48.243450
49	神仙寝室大赛	93833	新	2020-09-19T05:00:48.243550
50	杨迪洗肥肠控制不住的yue	93816		2020-09-19T05:00:48.243649
