排名	关键词	热度	特征	时间
1	李荣浩求婚杨丞琳视频	5260177	新	2020-07-11T03:34:23.743785
2	首尔市长遗体将不进行尸检	3164701		2020-07-11T03:34:23.743962
3	郑恺选择格乐利雅	2788240	荐	2020-07-11T03:34:23.744108
4	宁静 我从来没有觉得我这么完美过	2755504	热	2020-07-11T03:34:23.744267
5	66岁的林青霞	2132521		2020-07-11T03:34:23.744434
6	姐姐现场观众投票 离谱	1912062	新	2020-07-11T03:34:23.744562
7	官方辟谣蒙牛伊利等左右国家标准	1063123	沸	2020-07-11T03:34:23.744722
8	哈萨克斯坦不明原因肺炎可能为新冠	951159	新	2020-07-11T03:34:23.744879
9	吴尊友说此次疫情应对要感谢西城大爷	521652		2020-07-11T03:34:23.745038
10	美国单日新增确诊再次破纪录	500298		2020-07-11T03:34:23.745163
11	什刹海	439538		2020-07-11T03:34:23.745289
12	火箭少女穿创1初舞台服装	422416		2020-07-11T03:34:23.745414
13	向往的生活	368308		2020-07-11T03:34:23.745538
14	江苏句容出现1例登革热病例	338153		2020-07-11T03:34:23.745660
15	认出了好朋友的小羊	278658		2020-07-11T03:34:23.745786
16	美国新冠肺炎超316万例	273153		2020-07-11T03:34:23.745909
17	李希侃排名第一	268386	新	2020-07-11T03:34:23.746033
18	叶修	260775		2020-07-11T03:34:23.746187
19	小学毕业典礼老师躲角落哭	250694	新	2020-07-11T03:34:23.746310
20	日本将废除传统公章	239548	新	2020-07-11T03:34:23.746466
21	妈妈变身汤姆猫迎接高考儿子	237732		2020-07-11T03:34:23.746621
22	施南生	233907	新	2020-07-11T03:34:23.746744
23	近百留学生网购回国机票被骗	223018		2020-07-11T03:34:23.746900
24	香港青年质问美国为何如此双标	202389		2020-07-11T03:34:23.747024
25	高三老师签永久假条学生喊不同意	196306		2020-07-11T03:34:23.747146
26	宝蓝好稳	188787		2020-07-11T03:34:23.747270
27	微博管理员回应晨小晨事件	187643		2020-07-11T03:34:23.747395
28	陈奕迅线上演唱会	187465		2020-07-11T03:34:23.747518
29	奈何boss又如何	185162		2020-07-11T03:34:23.747642
30	路上遇到熟人的尴尬	177925		2020-07-11T03:34:23.747767
31	全聚德上半年预亏至少1.39亿元	151348		2020-07-11T03:34:23.747891
32	程潇迷雾蓝双马尾	150993		2020-07-11T03:34:23.748027
33	窦骁	149664		2020-07-11T03:34:23.748156
34	31省区市新增2例境外输入	147020	新	2020-07-11T03:34:23.748281
35	特朗普首次承诺戴口罩	146640		2020-07-11T03:34:23.748438
36	容婳流产	146432		2020-07-11T03:34:23.748562
37	吴昕原创rap	146184		2020-07-11T03:34:23.748685
38	丁程鑫跳无价之姐	145631		2020-07-11T03:34:23.748806
39	北京连续5天0新增	134862	新	2020-07-11T03:34:23.748927
40	黄明睿淘汰	124834		2020-07-11T03:34:23.749084
41	炙热的我们	115068		2020-07-11T03:34:23.749206
42	张雨绮组第一	115062		2020-07-11T03:34:23.749329
43	医学生打游戏的优势	114601		2020-07-11T03:34:23.749451
44	本科生带老婆孩子拍毕业照	113687		2020-07-11T03:34:23.749574
45	以色列发电站蓝色水母	110524	新	2020-07-11T03:34:23.749697
46	日本棒球比赛放机器人当球迷	109336		2020-07-11T03:34:23.749852
47	赌王何鸿燊出殡	104640		2020-07-11T03:34:23.749977
48	少年之名	99407		2020-07-11T03:34:23.750102
49	无印良品美国子公司申请破产保护	96958		2020-07-11T03:34:23.750226
50	奔跑吧	96682		2020-07-11T03:34:23.750350
