排名	关键词	热度	特征	时间
1	李佳琦回应抽烟	3701505	热	2020-04-22T04:06:15.878834
2	特朗普宣布美国暂停移民60天	2396508		2020-04-22T04:06:15.878936
3	樱花女孩	2275382	荐	2020-04-22T04:06:15.879008
4	陈晓自拍	2127339	热	2020-04-22T04:06:15.879096
5	方方	2115282	新	2020-04-22T04:06:15.879179
6	应届生的身份到底有多重要	2096478	新	2020-04-22T04:06:15.879261
7	北川景子怀孕	1421285		2020-04-22T04:06:15.879342
8	湖北现有确诊病例97例	1369640	新	2020-04-22T04:06:15.879406
9	记者被打送还手机被刷机	1340453	新	2020-04-22T04:06:15.879486
10	SM站姿培训	1323638		2020-04-22T04:06:15.879567
11	傅首尔童年曾为见妈妈喝洗洁精	897023		2020-04-22T04:06:15.879632
12	苹果下半年将推出11英寸iPad Air	876167	新	2020-04-22T04:06:15.879697
13	毛不易丁字步	812983		2020-04-22T04:06:15.879777
14	韩国违反隔离规定者将被戴电子手环	611954	新	2020-04-22T04:06:15.879841
15	美国新冠病毒感染病例超过82万	599441		2020-04-22T04:06:15.879919
16	易烊千玺演唱会纪录片	597999	新	2020-04-22T04:06:15.879983
17	中国银行	596410	新	2020-04-22T04:06:15.880063
18	大学单身率特别高的专业	496755		2020-04-22T04:06:15.880141
19	2015至2019年是有记录以来最热5年	463645		2020-04-22T04:06:15.880215
20	老爷爷收到印有妻子照片的抱枕	453924	新	2020-04-22T04:06:15.880284
21	街道办主任向被打记者道歉	442404		2020-04-22T04:06:15.880363
22	曹皇后照顾宋仁宗	417162	新	2020-04-22T04:06:15.880426
23	美疾控警告美国入冬或现更严重疫情	321757		2020-04-22T04:06:15.880504
24	毒液2推迟上映	309819		2020-04-22T04:06:15.880568
25	你会花钱看线上演唱会吗	303760		2020-04-22T04:06:15.880630
26	连云港化工厂爆炸	299991		2020-04-22T04:06:15.880693
27	世界地球日	281932	新	2020-04-22T04:06:15.880755
28	中国以外新冠确诊病例达2312966例	279750	新	2020-04-22T04:06:15.880831
29	牛津大学新冠疫苗将进行人体试验	270692	新	2020-04-22T04:06:15.880909
30	人民日报薇娅直播	270044		2020-04-22T04:06:15.880988
31	女生自拍时千万别打喷嚏	262525		2020-04-22T04:06:15.881050
32	上海新增境外输入病例1例	244032	新	2020-04-22T04:06:15.881112
33	德国新冠病亡者三分之一来自养老院	237426	新	2020-04-22T04:06:15.881189
34	外交部提醒中国公民暂勿出国旅行	221909		2020-04-22T04:06:15.881267
35	武汉的学生们念叨想老师了	221654		2020-04-22T04:06:15.881330
36	谢安然从150斤瘦到90斤	205435		2020-04-22T04:06:15.881393
37	你有哪些奇奇怪怪的恐惧症	202788		2020-04-22T04:06:15.881456
38	一拳超人拍真人电影	187059	新	2020-04-22T04:06:15.881517
39	宋仁宗宠徽柔	180194		2020-04-22T04:06:15.881594
40	31省区市新增确诊30例	170348	新	2020-04-22T04:06:15.881655
41	鹿晗花瓣衬衫	165155		2020-04-22T04:06:15.881733
42	为了爱情留在陌生城市	157050		2020-04-22T04:06:15.881796
43	张文宏回应不能喝粥	155454		2020-04-22T04:06:15.881859
44	鹅太子	150767		2020-04-22T04:06:15.881921
45	下雨天带给你的难忘瞬间	134375		2020-04-22T04:06:15.881983
46	夏远于小卉分手	132486		2020-04-22T04:06:15.882045
47	马云盖茨入选全球最伟大抗疫领袖	129237		2020-04-22T04:06:15.882108
48	31省区市新增42例无症状感染者	108035	新	2020-04-22T04:06:15.882169
49	饥饿游戏拍前传电影	91043	新	2020-04-22T04:06:15.882247
50	张贵妃讽刺曹皇后	88899		2020-04-22T04:06:15.882327
