排名	关键词	热度	特征	时间
1	林有有许幻山手机备注	5255663	热	2020-08-06T06:29:21.468198
2	医保局回应一针药卖70万	2355820	新	2020-08-06T06:29:21.468341
3	教育部提醒查不到代码都是虚假大学	1985722	热	2020-08-06T06:29:21.468465
4	钟晓芹陈屿许子言像一家三口	1461515	热	2020-08-06T06:29:21.468588
5	一见倾心阵容	988189	新	2020-08-06T06:29:21.468711
6	琉璃开播	942793	荐	2020-08-06T06:29:21.468830
7	襄阳失踪女童被翻墙逃走邻居杀害	938845	热	2020-08-06T06:29:21.468950
8	TFBOYS七周年演唱会主视觉海报	875829	沸	2020-08-06T06:29:21.469069
9	黎巴嫩不反对就爆炸展开国际调查	871843		2020-08-06T06:29:21.469189
10	张一山宋妍霏分手	857481	沸	2020-08-06T06:29:21.469278
11	美国新冠肺炎确诊超481万	854601		2020-08-06T06:29:21.469387
12	江疏影 不爱比不婚更可怕	839073	热	2020-08-06T06:29:21.469475
13	美国卫生部长将访台	824860	新	2020-08-06T06:29:21.469585
14	曾志伟老婆去世	823750	热	2020-08-06T06:29:21.469694
15	多所高校公布录取通知书设计	812344		2020-08-06T06:29:21.469801
16	景区上演现实版鱼跃龙门	797309		2020-08-06T06:29:21.469890
17	湖南天才少女回应华为百万年薪	784301	新	2020-08-06T06:29:21.469977
18	小伙三年为女友种出半亩荷塘	774721	新	2020-08-06T06:29:21.470092
19	基金	773768	新	2020-08-06T06:29:21.470210
20	第一炉香剧照	770425	新	2020-08-06T06:29:21.470321
21	我喜欢你预告	748070	新	2020-08-06T06:29:21.470429
22	福奇称家人遭受死亡威胁	702439	新	2020-08-06T06:29:21.470538
23	陈伟霆车库黑客大片	638315	新	2020-08-06T06:29:21.470645
24	重庆天空之镜	589114		2020-08-06T06:29:21.470753
25	官方通报女子台风天关窗坠亡	563269		2020-08-06T06:29:21.470840
26	美国报告多起喝洗手液致死事件	508207	新	2020-08-06T06:29:21.470928
27	星际穿越票房破8亿	395020	新	2020-08-06T06:29:21.471042
28	巴菲特持股苹果7个月赚300亿美元	356684		2020-08-06T06:29:21.471166
29	宁吉喆说下半年最大挑战是稳就业	336674	新	2020-08-06T06:29:21.471265
30	央视专访张玉环	328683		2020-08-06T06:29:21.471387
31	第一视角看南京特警夏训	258992	新	2020-08-06T06:29:21.471485
32	深圳地铁	257864		2020-08-06T06:29:21.471605
33	杀害襄阳7岁女童嫌疑人被抓获	250462		2020-08-06T06:29:21.471702
34	黎巴嫩华人讲述爆炸瞬间	249599	新	2020-08-06T06:29:21.471798
35	阿联酋一果蔬市场突发大火	205522		2020-08-06T06:29:21.471918
36	这才是真正的仙女下凡	176544		2020-08-06T06:29:21.472039
37	13岁盲童天籁之音曾获国际大奖	173680		2020-08-06T06:29:21.472146
38	郭敬明微电影太好哭了	161579		2020-08-06T06:29:21.472244
39	北京市补贴232家影院共2000万元	158272		2020-08-06T06:29:21.472342
40	三星发布会	148267		2020-08-06T06:29:21.472446
41	明日方舟	144925	新	2020-08-06T06:29:21.472540
42	新疆新增本土病例27例	142288		2020-08-06T06:29:21.472661
43	雷霆战胜湖人	137445		2020-08-06T06:29:21.472758
44	周寻说喜欢姜小果	126517		2020-08-06T06:29:21.472854
45	上海开出首张控烟顶额罚单	125721		2020-08-06T06:29:21.472949
46	张雨绮双马尾旗袍造型	118870		2020-08-06T06:29:21.473045
47	辽宁新增3例本土病例	116077		2020-08-06T06:29:21.473141
48	陆远下线	114914		2020-08-06T06:29:21.473236
49	张博洋淘汰	107747		2020-08-06T06:29:21.473330
50	重启	107309		2020-08-06T06:29:21.473424
