排名	关键词	热度	特征	时间
1	虞书欣 我不是杨超越我的头比她大	2686845	热	2020-09-21T10:05:23.632290
2	南师大学生校内死亡警方已介入调查	2217556	新	2020-09-21T10:05:23.632458
3	王俊凯发布Reno4 SE	2167037	荐	2020-09-21T10:05:23.632607
4	刘宇宁道歉	2030446	热	2020-09-21T10:05:23.632756
5	方方	1794691	沸	2020-09-21T10:05:23.632923
6	日本将为新婚夫妇发放4万元补贴	1377766	新	2020-09-21T10:05:23.633083
7	成毅回应发糖少	872997	热	2020-09-21T10:05:23.633226
8	李心草案16名民警被问责处理	794583	新	2020-09-21T10:05:23.633385
9	西安外国语大学	758566	沸	2020-09-21T10:05:23.633482
10	极限挑战 国家二级保护植物	742930	热	2020-09-21T10:05:23.633593
11	周深萨顶顶隔了几条街的声音	732828	沸	2020-09-21T10:05:23.633751
12	女大学生中奖1.4万个鸡蛋	712885		2020-09-21T10:05:23.633910
13	山东一小型飞机坠落3人死亡	667027	新	2020-09-21T10:05:23.634036
14	不少快递企业工资高于当地平均水平	662731	新	2020-09-21T10:05:23.634179
15	校方回应把学生外卖扔垃圾桶	656468	新	2020-09-21T10:05:23.634337
16	沉默的真相 广告植入	646035		2020-09-21T10:05:23.634491
17	东部战区发布热血MV	637684	新	2020-09-21T10:05:23.634617
18	西安外国语大学回应学生喊楼	628071		2020-09-21T10:05:23.634760
19	昆明办案机关回应李心草案六个疑问	613217	新	2020-09-21T10:05:23.634873
20	李由	608896	新	2020-09-21T10:05:23.635015
21	请假被拒自杀员工家属获赔30万	598048	新	2020-09-21T10:05:23.635173
22	过个生日像车祸现场	590512	新	2020-09-21T10:05:23.635303
23	迪丽热巴齐耳短发	586166		2020-09-21T10:05:23.635451
24	李心草案宣判	542775		2020-09-21T10:05:23.635576
25	将逝者骨灰做成项链	519954		2020-09-21T10:05:23.635700
26	热心市民熊先生	492311	新	2020-09-21T10:05:23.635819
27	岳云鹏	490207		2020-09-21T10:05:23.635959
28	腾讯发布公告解释美禁令影响	482566		2020-09-21T10:05:23.636084
29	罗秉乾过失致人死亡获刑1年6个月	481321		2020-09-21T10:05:23.636211
30	胡兵直播了24小时	480548		2020-09-21T10:05:23.636336
31	倪妮短发造型	473026		2020-09-21T10:05:23.636459
32	成毅掉粉	386289		2020-09-21T10:05:23.636583
33	江南百景图	324792	新	2020-09-21T10:05:23.636707
34	给特朗普寄含蓖麻毒素信的嫌犯被捕	320157		2020-09-21T10:05:23.636849
35	砗磲	318474		2020-09-21T10:05:23.636925
36	沈梦瑶	315317		2020-09-21T10:05:23.637014
37	S10定妆照	303035	新	2020-09-21T10:05:23.637137
38	葡萄撞撞宝藏茶	285376	新	2020-09-21T10:05:23.637288
39	96110来电一定要接听	233664		2020-09-21T10:05:23.637442
40	王俊凯瘦好多	231034		2020-09-21T10:05:23.637566
41	本特利的小辣椒	212656		2020-09-21T10:05:23.637690
42	男嫂子	211300		2020-09-21T10:05:23.637813
43	当你的朋友比你先放假	178653	新	2020-09-21T10:05:23.637929
44	Puff结婚	164918	新	2020-09-21T10:05:23.638088
45	艾美奖奖杯跑了	164100		2020-09-21T10:05:23.638246
46	西安外国语大学简化学生外出报备	152938		2020-09-21T10:05:23.638339
47	李心草案相关亲历者采访	110520	新	2020-09-21T10:05:23.638464
48	李心草母亲回应一审宣判	101200		2020-09-21T10:05:23.638607
49	周杰伦 我家没邻居	100154		2020-09-21T10:05:23.638718
50	艾美奖	99389		2020-09-21T10:05:23.638842
