排名	关键词	热度	特征	时间
1	张子枫欧阳娜娜友情	2667321	新	2020-07-18T02:08:05.169832
2	气功大师刘尚林被逮捕	1807556	新	2020-07-18T02:08:05.170011
3	买姐姐盯上的液体卫生巾	1422219	荐	2020-07-18T02:08:05.170162
4	王思聪	1195909	沸	2020-07-18T02:08:05.170309
5	向往的生活	854326		2020-07-18T02:08:05.170453
6	民航局批准第二批国际客运奖励航班	790492	新	2020-07-18T02:08:05.170568
7	李麒麟回应王思聪	715122		2020-07-18T02:08:05.170711
8	华春莹回应所谓中国想窃取美国疫苗	537869		2020-07-18T02:08:05.170824
9	南京暴雨	483980		2020-07-18T02:08:05.170936
10	赵露思生图	483347		2020-07-18T02:08:05.171047
11	嗨学网涉事主管已离职	472021	新	2020-07-18T02:08:05.171161
12	梁爽知错	467618		2020-07-18T02:08:05.171303
13	恩施拉响防空警报	395131		2020-07-18T02:08:05.171413
14	高考查成绩的那天	394207		2020-07-18T02:08:05.171524
15	湖北恩施城区大面积被淹	393424		2020-07-18T02:08:05.171635
16	杀害女儿9岁同学男子被执行死刑	392781	热	2020-07-18T02:08:05.171746
17	福克斯把特朗普声音掐了	391464	新	2020-07-18T02:08:05.171889
18	官方公布男子节食54天身亡调查结果	389576	新	2020-07-18T02:08:05.172054
19	大连隆胸死亡女子丈夫回应鉴定结果	388681		2020-07-18T02:08:05.172198
20	江疏影20岁军训旧照	388161		2020-07-18T02:08:05.172309
21	世界上最小的河马	387029		2020-07-18T02:08:05.172419
22	名牌大学生多次偷外卖被刑拘	361193		2020-07-18T02:08:05.172530
23	孟佳选人环节	343126		2020-07-18T02:08:05.172641
24	印度8年建成大桥1个月被冲垮	322418		2020-07-18T02:08:05.172750
25	唐嫣青花瓷长裙	315108		2020-07-18T02:08:05.172862
26	姜贞羽薄荷绿绑带裙	262306		2020-07-18T02:08:05.172973
27	个人消费贷授信不超过20万	203214		2020-07-18T02:08:05.173083
28	官方回应数百辆共享单车被丢垃圾场	189919		2020-07-18T02:08:05.173194
29	中组部划拨1.2亿元党费用于防汛救灾	179159		2020-07-18T02:08:05.173306
30	周深唱烟花易冷	179146		2020-07-18T02:08:05.173417
31	官方回应居民救人遭社区书记抢功	176573		2020-07-18T02:08:05.173527
32	男子苦练萝莉音网恋半年骗50万	174643		2020-07-18T02:08:05.173638
33	爷孙3人坠河两孙溺亡	166887		2020-07-18T02:08:05.173749
34	外交部新任发言人汪文斌	164659		2020-07-18T02:08:05.173861
35	携号转网服务用户破千万	164023		2020-07-18T02:08:05.173971
36	LPL处罚Chris和Xx	153643		2020-07-18T02:08:05.174082
37	奔跑吧	150518		2020-07-18T02:08:05.174193
38	杜华哭了	125202		2020-07-18T02:08:05.174305
39	蓝盈莹说自己是硬邦邦的人	123028		2020-07-18T02:08:05.174415
40	LNG处罚Xx	121359		2020-07-18T02:08:05.174525
41	小学生用第一份工资请父母吃饭	114381		2020-07-18T02:08:05.174637
42	钟文泽	113305		2020-07-18T02:08:05.174747
43	张雨绮 我没有顺拐	111764		2020-07-18T02:08:05.174857
44	少年之名	103917		2020-07-18T02:08:05.174967
45	新疆全面摸排核酸检测呈阳性者	102147		2020-07-18T02:08:05.175076
46	丁禹兮眼镜杀	102055		2020-07-18T02:08:05.175186
47	陪你一起可爱的男朋友	93888	新	2020-07-18T02:08:05.175297
48	东京奥运会比赛日程和场地已敲定	93567		2020-07-18T02:08:05.175447
49	网传北京某小区出现确诊病例不实	87229		2020-07-18T02:08:05.175577
50	最强大脑	86652		2020-07-18T02:08:05.175706
