排名	关键词	热度	特征	时间
1	吴亦凡 我不在这节目都不会出现	1408875	沸	2020-09-18T19:16:04.399487
2	一90后户籍被永久标注拒服兵役	1234657	热	2020-09-18T19:16:04.399603
3	王源 我没有主持人证	1116591	沸	2020-09-18T19:16:04.399702
4	乔欣 嫉妒不可耻	592803	热	2020-09-18T19:16:04.399798
5	演唱会快回来了	589528	沸	2020-09-18T19:16:04.399893
6	黑蒜	540332	沸	2020-09-18T19:16:04.399986
7	何凯文	515141	沸	2020-09-18T19:16:04.400089
8	教育部要求高校方便学生进出校门	315129	沸	2020-09-18T19:16:04.400181
9	解放军对印军播放歌曲	297183		2020-09-18T19:16:04.400273
10	毫无购买欲望的吃播	296515	沸	2020-09-18T19:16:04.400348
11	周杰伦吃醋昆凌给别人加油	296321	热	2020-09-18T19:16:04.400438
12	熊孩子把超市桃子全戳上洞	292566		2020-09-18T19:16:04.400528
13	KTV网吧剧院等地不得超核定人数75%	289508	新	2020-09-18T19:16:04.400600
14	中餐厅	287836	新	2020-09-18T19:16:04.400690
15	山东一高校古琴专业今年只招1人	283811		2020-09-18T19:16:04.400779
16	初三男生被家长扇耳光跳楼身亡	280775		2020-09-18T19:16:04.400851
17	杨迪洗肥肠控制不住的yue	278131	热	2020-09-18T19:16:04.400922
18	小伙抢劫20元称想进监狱清静	276629	新	2020-09-18T19:16:04.401010
19	学校食堂回应男女版打饭窗口	274331	新	2020-09-18T19:16:04.401099
20	观众回忆武汉涉事剧院座椅	273623	新	2020-09-18T19:16:04.401188
21	李宇春 你是不是想抢走我的潘虹	273201	新	2020-09-18T19:16:04.401277
22	秋天太适合恋爱了	257861		2020-09-18T19:16:04.401366
23	中国新说唱	193249		2020-09-18T19:16:04.401437
24	老奶奶被让座后为读书学生打光	171781		2020-09-18T19:16:04.401508
25	考虫崩了	165887		2020-09-18T19:16:04.401579
26	小白输给小青龙	165727		2020-09-18T19:16:04.401650
27	比伯看老婆和看狗仔的眼神对比	165603		2020-09-18T19:16:04.401721
28	平平无奇的起名小天才	163677		2020-09-18T19:16:04.401792
29	优先放开室外举办大型营业性演出	159776	新	2020-09-18T19:16:04.401862
30	路人的可爱瞬间	157871	新	2020-09-18T19:16:04.401950
31	GALI心疼张靓颖	155124		2020-09-18T19:16:04.402039
32	合肥幼儿园老师天台上掌掴幼童	142911		2020-09-18T19:16:04.402108
33	福建男篮	136091	新	2020-09-18T19:16:04.402179
34	外交部回应解放军台海附近实战化演练	134822		2020-09-18T19:16:04.402267
35	金晓钟说泫雅是最后一任女友	134639		2020-09-18T19:16:04.402337
36	Mike前女友	129329		2020-09-18T19:16:04.402408
37	平凡的荣耀	123417		2020-09-18T19:16:04.402478
38	最美逆行者之别来无恙	120667		2020-09-18T19:16:04.402549
39	泡面吃出了大餐的感觉	119120		2020-09-18T19:16:04.402619
40	中国好声音	115696		2020-09-18T19:16:04.402689
41	UNINE拍摄解散照	110007		2020-09-18T19:16:04.402760
42	小白 男孩子也有爱美的权利	109949		2020-09-18T19:16:04.402830
43	吴中天让杨子姗躺床上刷牙	109089		2020-09-18T19:16:04.402901
44	聚集性疫情地区需7天内全员核酸检测	103920		2020-09-18T19:16:04.402971
45	承煦新婚夜追茗玉	103374		2020-09-18T19:16:04.403041
46	理智粉丝的追星方式	99372		2020-09-18T19:16:04.403113
47	网红拉姆遭前夫纵火焚烧重度烧伤	87092		2020-09-18T19:16:04.403183
48	台湾	76678		2020-09-18T19:16:04.403257
49	天问一号已飞行1.55亿公里	76212	新	2020-09-18T19:16:04.403329
50	江阳太惨了	69859		2020-09-18T19:16:04.403417
