排名	关键词	热度	特征	时间
1	贵州公交坠湖司机蓄意报复社会	3625864	沸	2020-07-12T14:55:30.404357
2	沈阳5个孩子下河玩耍3人溺亡	1389894	新	2020-07-12T14:55:30.404539
3	研究生支教结束送每个女生公主裙	1257056		2020-07-12T14:55:30.404696
4	赵小棠吐槽团队工作人员	1223030	沸	2020-07-12T14:55:30.404815
5	沉浸式密室有多好玩	1155136	沸	2020-07-12T14:55:30.404964
6	桂花中风	1102496	新	2020-07-12T14:55:30.405109
7	2名女生携带笑气在火车站被查	761579		2020-07-12T14:55:30.405253
8	洪峰将在2至3天内抵达武汉	701913	新	2020-07-12T14:55:30.405367
9	千岛湖泄洪后首网捕获50000斤鱼	516222		2020-07-12T14:55:30.405509
10	香港新增38例新冠肺炎确诊病例	498805	新	2020-07-12T14:55:30.405623
11	快乐大本营打码	498313	热	2020-07-12T14:55:30.405764
12	北京120急救系统工作人员零感染	494643		2020-07-12T14:55:30.405908
13	购买水果生鲜时应佩戴一次性手套	479448		2020-07-12T14:55:30.406021
14	九江江洲已有2000余青壮年回乡抗洪	429753	新	2020-07-12T14:55:30.406135
15	九江江洲镇要求所有居民13日前全部撤离	403549		2020-07-12T14:55:30.406279
16	贺俊雄 周震南	392873	新	2020-07-12T14:55:30.406392
17	班主任激情发文500字夸学生	389790	新	2020-07-12T14:55:30.406547
18	日本千年神树因大雨连根倒地	368346		2020-07-12T14:55:30.406709
19	南京玄武湖并蒂莲	347857		2020-07-12T14:55:30.406838
20	学生宿舍群像	331577		2020-07-12T14:55:30.406964
21	贾静雯包场请霍建华侯佩岑等看电影	322682	热	2020-07-12T14:55:30.407089
22	上海玻璃博物馆梦幻城堡遭损坏	318788		2020-07-12T14:55:30.407247
23	成都雪山	296967		2020-07-12T14:55:30.407371
24	秦岭发现兰科植物新种巴山山兰	268757	新	2020-07-12T14:55:30.407496
25	满身泥泞的搜救犬洗澡啦	266207		2020-07-12T14:55:30.407653
26	江西阿姨放弃广场舞上堤抗洪	253225		2020-07-12T14:55:30.407778
27	当代青年的假期现状	235229		2020-07-12T14:55:30.407902
28	押运员划船押运钞票	224415		2020-07-12T14:55:30.408042
29	特朗普首次在公开场合戴口罩	213509		2020-07-12T14:55:30.408169
30	高原上的喵星人	209036		2020-07-12T14:55:30.408292
31	江苏进口生鲜食品新冠病毒监测结果	190984		2020-07-12T14:55:30.408416
32	太白山景区发现国家一级保护动物羚牛	170498		2020-07-12T14:55:30.408541
33	贝索斯前妻成为美国女首富	169115		2020-07-12T14:55:30.408663
34	美国修改针对留学生的签证新政	161481		2020-07-12T14:55:30.408785
35	可可西里11只藏羚羊幼仔得到救助	158455		2020-07-12T14:55:30.408908
36	武警攀爬上二楼救下洪水中被困老人	157938		2020-07-12T14:55:30.409033
37	虽然是精神病但是没关系	153698		2020-07-12T14:55:30.409157
38	EDG RNG	153577	新	2020-07-12T14:55:30.409280
39	梅西联赛进球助攻双20	153484	新	2020-07-12T14:55:30.409436
40	数百名武警官兵集结长湖	153233	新	2020-07-12T14:55:30.409591
41	首尔市长独子回国为父守灵	153004	新	2020-07-12T14:55:30.409747
42	武汉民兵24小时轮班巡堤查险	152830	新	2020-07-12T14:55:30.409902
43	那岚岳逼走容婳	152479	新	2020-07-12T14:55:30.410058
44	被洪水围困女孩趴消防员背上睡着	152301	新	2020-07-12T14:55:30.410212
45	武汉部分路段江水已高过城市主干道	152204		2020-07-12T14:55:30.410365
46	一线城市租房热度普降	145468		2020-07-12T14:55:30.410489
47	杜海涛姐姐	141507		2020-07-12T14:55:30.410613
48	说唱听我的	140204		2020-07-12T14:55:30.410736
49	碰到袋鼠在路上收保护费	139267		2020-07-12T14:55:30.410858
50	SKP回应拒绝外卖员进入	138844		2020-07-12T14:55:30.410980
