排名	关键词	热度	特征	时间
1	吉娜抱起150斤的郎朗	3674993	新	2020-04-19T12:28:46.205566
2	广州一星巴克发现疑似病例	2166476	新	2020-04-19T12:28:46.205648
3	朱之文感谢警方拘留踹门男子	1851860	热	2020-04-19T12:28:46.205716
4	孙红雷也在看青你2	1744940	新	2020-04-19T12:28:46.205781
5	替我谢谢你的男朋友	1397761		2020-04-19T12:28:46.205846
6	UNINE集体营业	1156761		2020-04-19T12:28:46.205899
7	塞芒果核的工人失业了	1053474		2020-04-19T12:28:46.205951
8	朱之文	783068		2020-04-19T12:28:46.206002
9	听说2020夏天是这样的	742457	热	2020-04-19T12:28:46.206054
10	个别省份本土聚集性病例持续增加	726999		2020-04-19T12:28:46.206115
11	王俊凯进不去家门	723283	新	2020-04-19T12:28:46.206168
12	师兄合作舞台	722043	新	2020-04-19T12:28:46.206231
13	北京动物园回应老虎魔性转圈	698831	新	2020-04-19T12:28:46.206292
14	网友为湖北拼单买了79万吨农产品	615269	新	2020-04-19T12:28:46.206352
15	400次咖啡	522050		2020-04-19T12:28:46.206413
16	当北方人去重庆吃火锅	487330		2020-04-19T12:28:46.206464
17	家中起火6岁弟弟和8岁姐姐冷静处置	486464	新	2020-04-19T12:28:46.206515
18	每天喷84消毒液致肺泡炎	478757	新	2020-04-19T12:28:46.206577
19	蛋糕吃出米饭的感觉	474263		2020-04-19T12:28:46.206638
20	宿舍版抬棺	472802		2020-04-19T12:28:46.206687
21	写论文和CP文的区别	468645		2020-04-19T12:28:46.206737
22	3人疫情期间泄露公民个人信息被拘留	453539	热	2020-04-19T12:28:46.206787
23	丹麦小学幼儿园复课引近4万家长质疑	406894	新	2020-04-19T12:28:46.206849
24	辽宁多地推迟初三开学时间	387539	新	2020-04-19T12:28:46.206910
25	数学老师不配拥有爱情	386324		2020-04-19T12:28:46.206971
26	单方面恋爱	357129		2020-04-19T12:28:46.207020
27	考研失败的人后来怎么样了	338788		2020-04-19T12:28:46.207070
28	小区土方发现4名儿童尸体	310629		2020-04-19T12:28:46.207119
29	低脂爆汁鸡胸肉	307262		2020-04-19T12:28:46.207169
30	多地最新暑假时间	287776		2020-04-19T12:28:46.207219
31	一再反转的烧脑神剧	285048	新	2020-04-19T12:28:46.207269
32	打工是不可能打工的当事人回家	269603		2020-04-19T12:28:46.207330
33	援鄂粉丝收到杨幂签名照	252086		2020-04-19T12:28:46.207379
34	动物园老虎笼内遛弯走出圆形	247981		2020-04-19T12:28:46.207428
35	我国公布南海部分岛礁标准名称	237772		2020-04-19T12:28:46.207477
36	天猫总裁蒋凡自请调查	237618		2020-04-19T12:28:46.207526
37	26.3万个医用口罩未向海关申报	217441		2020-04-19T12:28:46.207576
38	学霸是如何上网课	200248		2020-04-19T12:28:46.207625
39	武汉体育中心二次消杀	191575	新	2020-04-19T12:28:46.207674
40	闪耀暖暖 欧式大裙子	189267		2020-04-19T12:28:46.207734
41	车窗上的留言让他哭了10分钟	182896		2020-04-19T12:28:46.207783
42	追无人机的小朋友圆梦了	175568		2020-04-19T12:28:46.207832
43	我国粮食储备充足	174501	新	2020-04-19T12:28:46.207881
44	有一种浪漫叫大理	172193	新	2020-04-19T12:28:46.207943
45	武汉卓尔回家	171783	新	2020-04-19T12:28:46.208004
46	最美318究竟有多好看	169602	新	2020-04-19T12:28:46.208063
47	援鄂队员隔离期收到母亲去世噩耗	168809	新	2020-04-19T12:28:46.208124
48	体彩店暗藏口罩生产线被查	164706		2020-04-19T12:28:46.208213
49	加索尔替科比给瓦妮莎送花	146716		2020-04-19T12:28:46.208277
50	WE EDG	132690	新	2020-04-19T12:28:46.208327
