排名	关键词	热度	特征	时间
1	鹿晗被问到有没有可能跳女团舞	1408460	热	2020-04-21T01:21:11.787278
2	央视连线被救回后皮肤发黑的武汉医生	1092449		2020-04-21T01:21:11.787469
3	美油历史首次收于负值	833361		2020-04-21T01:21:11.787595
4	帝后CP发糖	712405		2020-04-21T01:21:11.787715
5	哈尔滨市第二医院停诊	651710		2020-04-21T01:21:11.787835
6	韩庚暴瘦	620067		2020-04-21T01:21:11.787952
7	徽柔亲李玮	501028		2020-04-21T01:21:11.788066
8	九寨沟下雪了	414318		2020-04-21T01:21:11.788194
9	普京称俄罗斯疫情峰值尚未到来	389044		2020-04-21T01:21:11.788312
10	绕床跑10小时完成100公里	382563		2020-04-21T01:21:11.788427
11	肖战绿洲更新	316583		2020-04-21T01:21:11.788544
12	李佳琦唱歌	313356		2020-04-21T01:21:11.788665
13	从早餐看出家庭地位	279387		2020-04-21T01:21:11.788779
14	创造营	232016		2020-04-21T01:21:11.788904
15	首个新冠疫苗动物实验数据出炉	217720		2020-04-21T01:21:11.789036
16	清平乐	211321		2020-04-21T01:21:11.789165
17	李小璐直播	210465	热	2020-04-21T01:21:11.789290
18	宋家三胞胎开学上网课	207114		2020-04-21T01:21:11.789450
19	头像的重要性有多大	206389		2020-04-21T01:21:11.789579
20	呼伦贝尔4月下暴雪	203549		2020-04-21T01:21:11.789705
21	疑因两口子吵架女子高空抛物	200507		2020-04-21T01:21:11.789832
22	德国男子用鱼竿跨境买法国面包	198474		2020-04-21T01:21:11.789957
23	多家音视频取消默认自动续费	198059		2020-04-21T01:21:11.790083
24	被于小卉气死	178739		2020-04-21T01:21:11.790207
25	中国对美国提供各类口罩18.64亿只	177664		2020-04-21T01:21:11.790331
26	美国新冠病毒感染病例超过78万	174451	新	2020-04-21T01:21:11.790457
27	美股	149301		2020-04-21T01:21:11.790615
28	黄子韬模仿鹿晗毛不易宋茜	141172		2020-04-21T01:21:11.790741
29	再不开学宿舍都结西红柿了	134833		2020-04-21T01:21:11.790866
30	阿水MVP	131444		2020-04-21T01:21:11.790991
31	曹皇后说我怕失去你	125865		2020-04-21T01:21:11.791116
32	山西一元代古桥被破坏性修复	119334		2020-04-21T01:21:11.791240
33	印度50多名记者确诊感染新冠病毒	107781	新	2020-04-21T01:21:11.791367
34	国防部回应越南渔船撞击中国海警舰艇	105396		2020-04-21T01:21:11.791524
35	很烧钱但放不下的爱好	105100		2020-04-21T01:21:11.791649
36	货车自燃6吨土豆被烤熟	101971		2020-04-21T01:21:11.791774
37	张伟丽平安归国	100153		2020-04-21T01:21:11.791897
38	火烈鸟再次光顾内蒙古磴口县	98738		2020-04-21T01:21:11.792019
39	武汉动物园4月22日复工	90876		2020-04-21T01:21:11.792143
40	广州对返校初三高三学生全部核酸检测	88362		2020-04-21T01:21:11.792290
41	Lisa最新舞蹈	87889		2020-04-21T01:21:11.792418
42	稻谷小麦库存够全国人民吃一年	87454		2020-04-21T01:21:11.792535
43	安徽开学时间	83606		2020-04-21T01:21:11.792625
44	高中那时的你	79739		2020-04-21T01:21:11.792713
45	日本一男子街头去世后被确诊感染	76844		2020-04-21T01:21:11.792798
46	贝克汉姆为鹿晗庆生	76522		2020-04-21T01:21:11.792886
47	迪士尼本周起停止支付10万余员工薪水	74307		2020-04-21T01:21:11.792973
48	LPL季后赛赛程	69604		2020-04-21T01:21:11.793060
49	快乐说来就来	62076	新	2020-04-21T01:21:11.793144
50	猎狐	59674		2020-04-21T01:21:11.793253
