排名	关键词	热度	特征	时间
1	杨超越 我不想谈恋爱只想挣钱	2803154	新	2020-09-23T01:46:18.809716
2	上户被父亲要6万6女孩终拿身份证	796076		2020-09-23T01:46:18.809835
3	陈乔恩艾伦庆祝恋爱一周年	794229	新	2020-09-23T01:46:18.809915
4	李思雨被停职	763706		2020-09-23T01:46:18.810021
5	李维嘉吴昕郑希怡同款鼻子	680023		2020-09-23T01:46:18.810103
6	吴世勋理想生活就耀活力	667818	荐	2020-09-23T01:46:18.810182
7	中国新冠疫苗已被证明有效	646118	沸	2020-09-23T01:46:18.810273
8	中国福建籍死囚挖洞越狱仍在逃	639290		2020-09-23T01:46:18.810364
9	日本重提希望成为安理会常任理事国	638062		2020-09-23T01:46:18.810436
10	黄渤打张艺兴像训孩子	636920		2020-09-23T01:46:18.810509
11	张芝芝决定离婚	614896	热	2020-09-23T01:46:18.810582
12	扔后车满窗饮料男子被刑拘	482209		2020-09-23T01:46:18.810674
13	原来朱伟是公孙策	441257		2020-09-23T01:46:18.810747
14	英国确诊病例每7天翻一番	440778		2020-09-23T01:46:18.810818
15	刘洋魏亚云同居	435992		2020-09-23T01:46:18.810889
16	美国加州今年已有近8000起山火	428832	新	2020-09-23T01:46:18.810960
17	中国已有多支疫苗进入Ⅲ期临床实验	422282		2020-09-23T01:46:18.811051
18	iPhone12命名曝光	415943		2020-09-23T01:46:18.811125
19	高校斥资2000多万元为学生买飞机	412796		2020-09-23T01:46:18.811201
20	心动的信号男四	406896	新	2020-09-23T01:46:18.811276
21	小张被钢化玻璃割伤公寓回应	401824	新	2020-09-23T01:46:18.811370
22	关晓彤花粉蛋糕裙	397118	新	2020-09-23T01:46:18.811467
23	私生给陈宥维打电话	395310		2020-09-23T01:46:18.811568
24	联合国大会一般性辩论	378996		2020-09-23T01:46:18.811648
25	四十岁邓超三分9投9中	366844		2020-09-23T01:46:18.811724
26	女生处理掉发的方法	317977		2020-09-23T01:46:18.811801
27	我喜欢你预告	313103	新	2020-09-23T01:46:18.811876
28	美股	299834		2020-09-23T01:46:18.811970
29	香港青年在联合国质问外国干涉香港	298082		2020-09-23T01:46:18.812057
30	喝多了水的柯基	297094		2020-09-23T01:46:18.812134
31	贵州一小区高层现金被吹落	249735		2020-09-23T01:46:18.812208
32	你了解过父母的梦想吗	205346	新	2020-09-23T01:46:18.812283
33	巨石强森着急上班徒手拆门	196565		2020-09-23T01:46:18.812377
34	南方人吃月饼vs北方人吃月饼	178490		2020-09-23T01:46:18.812452
35	非典型大爷大妈图鉴	173251	新	2020-09-23T01:46:18.812526
36	张翰跳女团舞	169403		2020-09-23T01:46:18.812620
37	陈泽希退出X玖少年团	167832		2020-09-23T01:46:18.812694
38	亲爱的自己	147197		2020-09-23T01:46:18.812768
39	薛逸星姚沐希约会 雷点上蹦迪	146165		2020-09-23T01:46:18.812843
40	大理的秋天也太美了	145746		2020-09-23T01:46:18.812918
41	54岁的李若彤身材曲线	145220		2020-09-23T01:46:18.812993
42	重启	143952		2020-09-23T01:46:18.813067
43	兰芊翊被当众泼咖啡	137470		2020-09-23T01:46:18.813141
44	凤唳九天	132091		2020-09-23T01:46:18.813214
45	北京大雨	124653	新	2020-09-23T01:46:18.813288
46	我喜欢你	123813		2020-09-23T01:46:18.813380
47	2020年改变世界的100家公司	115565		2020-09-23T01:46:18.813454
48	汪文斌纠正外媒记者对台湾称呼	99346		2020-09-23T01:46:18.813526
49	小张被浴室玻璃门割伤手	89776		2020-09-23T01:46:18.813597
50	素媛案受害者父亲想出钱帮罪犯搬家	89399		2020-09-23T01:46:18.813668
