排名	关键词	热度	特征	时间
1	关晓彤为鹿晗庆生	2982970	热	2020-04-20T03:10:56.544170
2	上海巨响	1509732	热	2020-04-20T03:10:56.544334
3	湖北高考时间为7月7日至8日	1491793	新	2020-04-20T03:10:56.544452
4	巴黎非饮用自来水中检测到新冠病毒	1467616	新	2020-04-20T03:10:56.544571
5	钱枫又胖了	1136389	热	2020-04-20T03:10:56.544684
6	英国暂不考虑让学校利用暑期补课	1062458		2020-04-20T03:10:56.544793
7	baby吃到自己种的鸡毛菜	1042771	热	2020-04-20T03:10:56.544879
8	李文亮等33人追授中国青年五四奖章	853179	新	2020-04-20T03:10:56.544986
9	孙力军接受中央纪委国家监委调查	776132		2020-04-20T03:10:56.545094
10	夫妻的世界气人	718109		2020-04-20T03:10:56.545181
11	一条小团团露脸	601655		2020-04-20T03:10:56.545269
12	美国新冠肺炎累计确诊超过75万	595144	新	2020-04-20T03:10:56.545355
13	13岁男孩杀害10岁堂妹抛尸后仍闲逛	594575		2020-04-20T03:10:56.545468
14	意大利新增新冠肺炎确诊3047例	592606		2020-04-20T03:10:56.545553
15	武汉两医生被ECMO救回后脸色发黑	591608		2020-04-20T03:10:56.545637
16	猪肉每公斤降了6元	589972	新	2020-04-20T03:10:56.545721
17	王凯演技	589129		2020-04-20T03:10:56.545829
18	不可能打工男子称后悔曾经行为	586499	新	2020-04-20T03:10:56.545914
19	医院为违停睡车内男子提供车位	585574	新	2020-04-20T03:10:56.546028
20	武昌医院已故院长刘智明妻子接受采访	584928		2020-04-20T03:10:56.546150
21	你见过最好看的素颜照	566757	新	2020-04-20T03:10:56.546245
22	女子民政局门口遭丈夫暴打	528287		2020-04-20T03:10:56.546364
23	女生汗毛多是什么体验	507528	新	2020-04-20T03:10:56.546459
24	花舞剑 强	491482	新	2020-04-20T03:10:56.546579
25	G2夺冠	450198		2020-04-20T03:10:56.546698
26	绥芬河举报隐瞒谎报病情属实奖2000元	438815		2020-04-20T03:10:56.546793
27	北京大风	393475		2020-04-20T03:10:56.546887
28	天津新增1例无症状感染者	371510	新	2020-04-20T03:10:56.546981
29	多地最新暑假时间	355772		2020-04-20T03:10:56.547100
30	因为什么和最好的朋友闹掰	355561		2020-04-20T03:10:56.547192
31	考个驾照究竟有多难	325153	新	2020-04-20T03:10:56.547284
32	加拿大枪击案致十余人死亡	318898		2020-04-20T03:10:56.547400
33	汉服并不是突然火起来的	310599		2020-04-20T03:10:56.547493
34	个别省份本土聚集性病例持续增加	303841		2020-04-20T03:10:56.547587
35	原油	297459	新	2020-04-20T03:10:56.547681
36	张贵妃怀孕	292451		2020-04-20T03:10:56.547798
37	央视15分钟节目谢谢网友为湖北拼单	278566		2020-04-20T03:10:56.547892
38	2500万套防护服将从中国运抵英国	252597	新	2020-04-20T03:10:56.547986
39	烧饼曹鹤阳淘汰	250097		2020-04-20T03:10:56.548102
40	一个人逛街是什么感觉	238127	新	2020-04-20T03:10:56.548212
41	中电电机回应前董事长偷拍对手被抓	232649	新	2020-04-20T03:10:56.548333
42	秦霄贤 声声慢	207480		2020-04-20T03:10:56.548454
43	31省区市新增12例新冠肺炎	187457	新	2020-04-20T03:10:56.548547
44	你姓氏里出过的名人	186517	新	2020-04-20T03:10:56.548664
45	31省区市新增无症状感染者49例	184990	新	2020-04-20T03:10:56.548781
46	中华白海豚罕见携幼崽现身	182714		2020-04-20T03:10:56.548899
47	失业是一种什么体验	181149	新	2020-04-20T03:10:56.548993
48	黑龙江新增4例俄罗斯输入病例	180011	新	2020-04-20T03:10:56.549111
49	张妼晗什么时候下线	173154		2020-04-20T03:10:56.549229
50	日本景点砍80万株郁金香	136920		2020-04-20T03:10:56.549322
