排名	关键词	热度	特征	时间
1	特朗普崩溃了	623945	沸	2020-05-13T00:29:09.407699
2	西安当街被打女子发声	492760	沸	2020-05-13T00:29:09.407873
3	国潮荣威 焕新标	393111	荐	2020-05-13T00:29:09.408021
4	何炅郭敬明郑爽谈公开表态	372700	沸	2020-05-13T00:29:09.408166
5	瑞幸CEO与COO被停职	261994		2020-05-13T00:29:09.408333
6	导演魏杰性侵醉酒女子被判4年	231723	热	2020-05-13T00:29:09.408445
7	快手向抖音索赔500万元	227406		2020-05-13T00:29:09.408585
8	说好让她做大宋最快乐的姑娘呢	189192		2020-05-13T00:29:09.408695
9	科比事故飞行员家属发声	162934		2020-05-13T00:29:09.408812
10	英国官方教民众用旧T恤做口罩	153030		2020-05-13T00:29:09.408922
11	1号台风黄蜂生成	149775		2020-05-13T00:29:09.409033
12	韩国夜店集体感染已致101人确诊	117981		2020-05-13T00:29:09.409142
13	影子在公主脚下 怀吉在徽柔心里	110722		2020-05-13T00:29:09.409254
14	饭圈文化该不该出现在校园	109355		2020-05-13T00:29:09.409365
15	泰森宣布复出	108274		2020-05-13T00:29:09.409475
16	Jennie露背西装	107273		2020-05-13T00:29:09.409584
17	频繁聊天会产生恋爱错觉吗	105891		2020-05-13T00:29:09.409696
18	家属称闷死老人保姆作案前认真热情	103028		2020-05-13T00:29:09.409805
19	四川再次拍摄到野生大熊猫	102254		2020-05-13T00:29:09.409926
20	告白时的聊天记录截图	101180		2020-05-13T00:29:09.410052
21	郴州大头娃娃	99086		2020-05-13T00:29:09.410177
22	男朋友集体隔栏眺望女友	98383		2020-05-13T00:29:09.410301
23	纽约零号病人首次发声	89467		2020-05-13T00:29:09.410425
24	八色花瓣紫菜包饭	79557		2020-05-13T00:29:09.410547
25	前野智昭小松未可子结婚	74685		2020-05-13T00:29:09.410670
26	警方通报保姆闷死83岁老人	69871		2020-05-13T00:29:09.410795
27	张康阳	69094		2020-05-13T00:29:09.410917
28	夏天里必不可少的东西	65922		2020-05-13T00:29:09.411040
29	杀破狼	56184		2020-05-13T00:29:09.411162
30	普京新闻秘书确诊新冠肺炎	55766		2020-05-13T00:29:09.411284
31	有个神仙颜值妈妈的体验	55380		2020-05-13T00:29:09.411405
32	用四个字来形容你喜欢的人	46831		2020-05-13T00:29:09.411524
33	长大后想谈恋爱有多难	45883		2020-05-13T00:29:09.411644
34	新闻联播正告美政客中国人不是被吓大的	42378		2020-05-13T00:29:09.411765
35	中国对美国医用消毒剂等不再加征关税	38385		2020-05-13T00:29:09.411888
36	刘敏涛接电话状态也像喝醉了	38240		2020-05-13T00:29:09.412013
37	全国计划招聘特岗教师10.5万名	37389		2020-05-13T00:29:09.412134
38	珠峰大本营数星星	31862		2020-05-13T00:29:09.412271
39	蚊子吸你血是因为你太甜	31838		2020-05-13T00:29:09.412394
40	肖战超话教师天团	31531		2020-05-13T00:29:09.412514
41	拍风景意外拍下男子跳河瞬间	30315		2020-05-13T00:29:09.412633
42	上学时你最羡慕的人	30057		2020-05-13T00:29:09.412755
43	最美球衣照	29151		2020-05-13T00:29:09.412875
44	当警察叔叔玩起嘻哈	29134		2020-05-13T00:29:09.412994
45	汶川地震来临时惊心动魄瞬间	27751		2020-05-13T00:29:09.413113
46	你向往的恋爱是什么样子	27421		2020-05-13T00:29:09.413235
47	金晨片场练女团舞	25632		2020-05-13T00:29:09.413357
48	冰可乐的正确喝法	24812		2020-05-13T00:29:09.413476
49	赖弘国再回应	21909		2020-05-13T00:29:09.413598
50	被秒到的明星生图	21311		2020-05-13T00:29:09.413718
