排名	关键词	热度	特征	时间
1	一次喝3.2L水致水中毒	3966915	热	2020-09-13T08:07:06.719839
2	白岩松提醒外卖平台别把骑手当机器	3400970	热	2020-09-13T08:07:06.719985
3	张纪中承认再婚	3312741	新	2020-09-13T08:07:06.720137
4	阿娇拆绷带后首露面	1788370	热	2020-09-13T08:07:06.720264
5	朴树 以后不会再当老师了	1024685	热	2020-09-13T08:07:06.720393
6	美国新冠阳性学生举办大型派对	839889	新	2020-09-13T08:07:06.720514
7	湖人时隔十年再进西决	838819	沸	2020-09-13T08:07:06.720632
8	加拿大下周开始对美征收36亿报复性关税	838729		2020-09-13T08:07:06.720748
9	特朗普获今年第二个诺贝尔和平奖提名	838666		2020-09-13T08:07:06.720846
10	日本网暴施暴者个人信息可公开	804349	新	2020-09-13T08:07:06.720941
11	钟汉良为什么淘汰肖杰	708281	热	2020-09-13T08:07:06.721062
12	美国遭遇毁灭性山火季	620600	新	2020-09-13T08:07:06.721171
13	我国新一轮降雨将启程	571798	新	2020-09-13T08:07:06.721279
14	哇唧唧哇签了四个乐团吗	534403	热	2020-09-13T08:07:06.721387
15	告白失败大喊王俊凯来了	458833	热	2020-09-13T08:07:06.721494
16	巴基斯坦军方检查站遭炸弹袭击	454575	新	2020-09-13T08:07:06.721600
17	威少与隆多哥哥冲突	451560		2020-09-13T08:07:06.721712
18	抑郁症防治4类重点人群	442504		2020-09-13T08:07:06.721807
19	李汶翰后援会官博发文	433250	新	2020-09-13T08:07:06.721893
20	小说里霸道总裁如何上厕所	430009		2020-09-13T08:07:06.722000
21	去学校的车有点奇怪	423408	新	2020-09-13T08:07:06.722086
22	这就是我没对象的真实原因	418792	新	2020-09-13T08:07:06.722192
23	四川小伙泥塑钟南山头像	406069		2020-09-13T08:07:06.722297
24	李胜利	399930	热	2020-09-13T08:07:06.722383
25	厨师处理猪肉受伤感染罕见脑膜炎	399197		2020-09-13T08:07:06.722496
26	山西一施工罐车往河中倒水泥	352697	新	2020-09-13T08:07:06.722590
27	湖人球迷观众席晒科比照片	344411		2020-09-13T08:07:06.722703
28	国防部回应美发布中国军事报告	342550		2020-09-13T08:07:06.722796
29	重启第二季开播	342495		2020-09-13T08:07:06.722882
30	金晨腹肌	333560		2020-09-13T08:07:06.722968
31	伏地魔没有鼻子的原因	331936		2020-09-13T08:07:06.723053
32	鸡肉价格大跌	276166		2020-09-13T08:07:06.723144
33	侵犯知识产权犯罪入罪门槛降至30万	268650		2020-09-13T08:07:06.723237
34	王源双面封面	264728		2020-09-13T08:07:06.723328
35	张文宏 全球抗疫曙光乍现	262329		2020-09-13T08:07:06.723419
36	网友为李汶翰点歌算什么男人	222223		2020-09-13T08:07:06.723513
37	广东人的日常疑惑	209964		2020-09-13T08:07:06.723604
38	人造肉第一股回应来华建厂	208278	新	2020-09-13T08:07:06.723696
39	美国市民拍山火侵袭后画面	202715	新	2020-09-13T08:07:06.723809
40	湖人球员众生相	185839	新	2020-09-13T08:07:06.723923
41	令人坠入星河的眼眸	176178		2020-09-13T08:07:06.724058
42	中国导演赵婷作品获威尼斯最高奖	172793		2020-09-13T08:07:06.724147
43	云南瑞丽一小区发现疑似病例	155913		2020-09-13T08:07:06.724232
44	换季过敏怎么办	146526	新	2020-09-13T08:07:06.724315
45	深圳地铁一施工现场龙门吊倒塌	141227		2020-09-13T08:07:06.724428
46	EDG回应性骚扰事件	140094		2020-09-13T08:07:06.724522
47	电子科技大学新生开学典礼	129534		2020-09-13T08:07:06.724608
48	护师考试	89528		2020-09-13T08:07:06.724693
49	各省抬杠四部曲	88836	新	2020-09-13T08:07:06.724776
50	民警创作歌曲揭10种校园诈骗	77372	新	2020-09-13T08:07:06.724882
