排名	关键词	热度	特征	时间
1	李佳琦小助理回来了	538899	热	2020-06-01T20:22:27.776574
2	美国至少15个州已启用国民警卫队	377132	沸	2020-06-01T20:22:27.776725
3	林更新拆空调	333291	荐	2020-06-01T20:22:27.776853
4	小虎安然分手	324311	热	2020-06-01T20:22:27.776974
5	华盛顿	323710	沸	2020-06-01T20:22:27.777092
6	传闻中的陈芊芊	308828		2020-06-01T20:22:27.777208
7	印度泰姬陵遭雷暴重击	228990	热	2020-06-01T20:22:27.777306
8	戴萌 许佳琪	153165		2020-06-01T20:22:27.777424
9	全国招募3.2万名高校毕业生到基层	143164		2020-06-01T20:22:27.777519
10	宋凛周放牵手	121487		2020-06-01T20:22:27.777612
11	陈芊芊表白韩烁	114503	沸	2020-06-01T20:22:27.777705
12	校园欺凌和暴力犯罪呈下降趋势	107073		2020-06-01T20:22:27.777819
13	陈小春二胎儿子正面照	106245	热	2020-06-01T20:22:27.777913
14	金价突破1765美元	104245	新	2020-06-01T20:22:27.778027
15	iG夏季赛大名单	104227		2020-06-01T20:22:27.778151
16	42岁支援绥芬河医生心脏骤停去世	103463		2020-06-01T20:22:27.778260
17	被苏沐气死	103396		2020-06-01T20:22:27.778365
18	美股	98092		2020-06-01T20:22:27.778469
19	乐队的夏天	95078		2020-06-01T20:22:27.778568
20	薇娅直播	89565		2020-06-01T20:22:27.778669
21	58岁女子玩儿童滑梯骨折被判担主责	89273		2020-06-01T20:22:27.778772
22	海豹原来是毛绒的	82957		2020-06-01T20:22:27.778872
23	武汉抗疫一线医护子女中考加10分	77443		2020-06-01T20:22:27.778968
24	三叉戟	77327		2020-06-01T20:22:27.779059
25	新疆维吾尔自治区政府副主席任华被查	76653		2020-06-01T20:22:27.779151
26	梁博直播	76536		2020-06-01T20:22:27.779243
27	成年人的儿童节状态	73546		2020-06-01T20:22:27.779334
28	香港撑国安立法收集到近300万人签名	72635		2020-06-01T20:22:27.779424
29	康辉回归新闻联播	68643		2020-06-01T20:22:27.779519
30	幸福触手可及预告	68618		2020-06-01T20:22:27.779609
31	杨天真将卸任所有艺人经纪业务	65543		2020-06-01T20:22:27.779699
32	张志超申请780万国家赔偿	65484		2020-06-01T20:22:27.779790
33	矿业巨头炸毁4.6万年历史岩洞遗址	62592		2020-06-01T20:22:27.779882
34	虞书欣 别爱我我作得很	61703		2020-06-01T20:22:27.779972
35	微贷网退出网贷	57106		2020-06-01T20:22:27.780078
36	赵立坚回击美称中国无能致全世界受难	57101		2020-06-01T20:22:27.780170
37	美国	56520		2020-06-01T20:22:27.780260
38	博士生在派出所完成线上答辩	51636		2020-06-01T20:22:27.780351
39	没有WiFi的童年是什么样	49773		2020-06-01T20:22:27.780441
40	美国白宫附近多地起火	49242		2020-06-01T20:22:27.780533
41	箜篌少女礼裙	48166		2020-06-01T20:22:27.780623
42	美国旧金山实施宵禁	46722		2020-06-01T20:22:27.780711
43	盲童练琴5年钢琴十级	44313		2020-06-01T20:22:27.780800
44	海南自由贸易港建设总体方案	42985		2020-06-01T20:22:27.780891
45	海南放宽离岛免税购物额度	39415		2020-06-01T20:22:27.780981
46	难听	39095		2020-06-01T20:22:27.781072
47	欧盟考虑向7万家大公司征税	37854		2020-06-01T20:22:27.781161
48	西安一高校跨学年催收学费	37716		2020-06-01T20:22:27.781252
49	夫妻间办车辆变更登记需结婚满一年	35164		2020-06-01T20:22:27.781341
50	东莞龙吸水	29868		2020-06-01T20:22:27.781432
