reservoir,timestamp
48,2020-04-17T16:48:54.137581
48,2020-04-17T16:53:58.605744
50,2020-04-17T16:59:01.007573
54,2020-04-17T17:04:02.944347
60,2020-04-17T17:09:06.179772
63,2020-04-17T17:14:09.001298
64,2020-04-17T17:19:11.801443
65,2020-04-17T17:24:17.689903
68,2020-04-17T17:29:21.401018
70,2020-04-17T17:34:23.388407
71,2020-04-17T17:39:26.421384
71,2020-04-17T17:44:28.767601
71,2020-04-17T17:49:33.562387
73,2020-04-17T17:54:37.833641
73,2020-04-17T17:59:40.183855
73,2020-04-17T18:04:42.121313
73,2020-04-17T18:09:45.925934
73,2020-04-17T18:14:47.819251
73,2020-04-17T18:19:51.116617
73,2020-04-17T18:24:53.202780
73,2020-04-17T18:29:55.630082
73,2020-04-17T18:34:58.451634
73,2020-04-17T18:40:05.866174
73,2020-04-17T18:45:08.512441
73,2020-04-17T18:50:12.365568
73,2020-04-17T18:55:14.432029
74,2020-04-17T19:00:18.068937
74,2020-04-17T19:05:20.930621
74,2020-04-17T19:10:23.864511
74,2020-04-17T19:15:25.921257
74,2020-04-17T19:20:28.860577
74,2020-04-17T19:25:31.004205
74,2020-04-17T19:30:33.842688
74,2020-04-17T19:35:35.825897
74,2020-04-17T19:40:39.873495
74,2020-04-17T19:45:41.753428
74,2020-04-17T19:50:45.142911
74,2020-04-17T19:55:47.330852
74,2020-04-17T20:00:50.136160
75,2020-04-17T20:05:52.355454
75,2020-04-17T20:10:55.100721
75,2020-04-17T20:15:57.183847
75,2020-04-17T20:20:59.241322
75,2020-04-17T20:26:01.761494
75,2020-04-17T20:31:04.064424
75,2020-04-17T20:36:07.236680
75,2020-04-17T20:41:10.208167
75,2020-04-17T20:46:12.062749
75,2020-04-17T20:51:14.377219
75,2020-04-17T20:56:16.496544
75,2020-04-17T21:01:18.663519
75,2020-04-17T21:06:20.459956
75,2020-04-17T21:11:22.748720
75,2020-04-17T21:16:25.063870
75,2020-04-17T21:21:27.333057
75,2020-04-17T21:26:30.192208
75,2020-04-17T21:31:32.774569
75,2020-04-17T21:36:34.820942
75,2020-04-17T21:41:37.431284
76,2020-04-17T21:46:39.380320
76,2020-04-17T21:51:41.617394
76,2020-04-17T21:56:43.810318
76,2020-04-17T22:01:47.188717
76,2020-04-17T22:06:49.441766
76,2020-04-17T22:11:52.225098
76,2020-04-17T22:16:54.161021
76,2020-04-17T22:21:57.160905
76,2020-04-17T22:26:59.424514
76,2020-04-17T22:32:02.190928
76,2020-04-17T22:37:04.752475
76,2020-04-17T22:42:07.879078
76,2020-04-17T22:47:09.807065
76,2020-04-17T22:52:12.190368
76,2020-04-17T22:57:14.015641
76,2020-04-17T23:02:16.254840
76,2020-04-17T23:07:18.823594
76,2020-04-17T23:12:36.605397
76,2020-04-17T23:17:39.067763
76,2020-04-17T23:22:41.982278
76,2020-04-17T23:27:44.608003
76,2020-04-17T23:32:47.370287
76,2020-04-17T23:37:49.415802
76,2020-04-17T23:42:52.636587
76,2020-04-17T23:47:54.563613
76,2020-04-17T23:52:57.142802
76,2020-04-17T23:57:59.567463
76,2020-04-18T00:03:01.841426
76,2020-04-18T00:08:04.451564
76,2020-04-18T00:13:06.538976
76,2020-04-18T00:18:08.347233
76,2020-04-18T00:23:10.770595
76,2020-04-18T00:28:13.291865
76,2020-04-18T00:33:15.590805
76,2020-04-18T00:38:18.083466
76,2020-04-18T00:43:20.675609
76,2020-04-18T00:48:22.943763
76,2020-04-18T00:53:25.239800
76,2020-04-18T00:58:27.187554
78,2020-04-18T01:03:29.640034
78,2020-04-18T01:08:32.227069
81,2020-04-18T01:13:34.661649
81,2020-04-18T01:18:38.870474
83,2020-04-18T01:23:40.984237
85,2020-04-18T01:28:43.021655
86,2020-04-18T01:33:45.539025
87,2020-04-18T01:38:47.593201
87,2020-04-18T01:43:50.064774
92,2020-04-18T01:48:52.120969
93,2020-04-18T01:53:54.395531
93,2020-04-18T01:58:57.046266
93,2020-04-18T02:04:00.023543
94,2020-04-18T02:09:02.756932
94,2020-04-18T02:14:05.772037
94,2020-04-18T02:19:08.062039
95,2020-04-18T02:24:10.225905
95,2020-04-18T02:29:12.047445
102,2020-04-18T02:34:14.999583
105,2020-04-18T02:39:17.480571
105,2020-04-18T02:44:19.589111
107,2020-04-18T02:49:21.624420
109,2020-04-18T02:54:24.036344
110,2020-04-18T02:59:26.625349
111,2020-04-18T03:04:29.635921
112,2020-04-18T03:09:32.154136
112,2020-04-18T03:14:34.711893
113,2020-04-18T03:19:37.467875
114,2020-04-18T03:24:40.353603
114,2020-04-18T03:29:42.872082
115,2020-04-18T03:34:45.932102
117,2020-04-18T03:39:47.947206
118,2020-04-18T03:44:50.713409
118,2020-04-18T03:49:52.744563
119,2020-04-18T03:54:55.041154
120,2020-04-18T03:59:57.117053
120,2020-04-18T04:04:59.742993
122,2020-04-18T04:10:02.293043
123,2020-04-18T04:15:05.576884
123,2020-04-18T04:20:07.465368
126,2020-04-18T04:25:09.912611
126,2020-04-18T04:30:23.390369
126,2020-04-18T04:35:27.423892
128,2020-04-18T04:40:29.387772
130,2020-04-18T04:45:31.947311
132,2020-04-18T04:50:33.887514
132,2020-04-18T04:55:38.393255
132,2020-04-18T05:00:40.959152
132,2020-04-18T05:05:44.039402
133,2020-04-18T05:10:46.711731
133,2020-04-18T05:15:49.256591
134,2020-04-18T05:20:51.789281
135,2020-04-18T05:25:54.598912
135,2020-04-18T05:30:56.577575
137,2020-04-18T05:35:58.872074
139,2020-04-18T05:41:00.783945
140,2020-04-18T05:46:03.725694
140,2020-04-18T05:51:06.311422
141,2020-04-18T05:56:09.003233
142,2020-04-18T06:01:10.980049
142,2020-04-18T06:06:14.210195
145,2020-04-18T06:11:16.668246
148,2020-04-18T06:16:19.830353
149,2020-04-18T06:21:21.788875
149,2020-04-18T06:26:24.546761
151,2020-04-18T06:31:27.189518
151,2020-04-18T06:36:30.263429
151,2020-04-18T06:41:32.217762
153,2020-04-18T06:46:34.997445
154,2020-04-18T06:51:36.837180
155,2020-04-18T06:56:39.951830
155,2020-04-18T07:01:42.749472
156,2020-04-18T07:06:45.152220
156,2020-04-18T07:11:47.415267
156,2020-04-18T07:16:50.704899
156,2020-04-18T07:21:52.691659
156,2020-04-18T07:26:54.969995
156,2020-04-18T07:31:57.020385
158,2020-04-18T07:37:00.378693
158,2020-04-18T07:42:02.943748
158,2020-04-18T07:47:06.151247
